t x y z
6.000000238418579102e-01 1.239721679687500000e+01 5.133092041015625000e+02 8.712804687500000000e+03
4.000000059604644775e-01 7.418225765228271484e+00 3.756654663085937500e+02 3.684797851562500000e+03
2.000000029802322388e-01 1.000081634521484375e+01 6.048139648437500000e+02 8.016206054687500000e+03
6.000000238418579102e-01 1.455775833129882812e+01 6.044300537109375000e+02 1.228771777343750000e+04
5.000000000000000000e-01 1.459553337097167969e+01 6.678752441406250000e+02 1.337815917968750000e+04
9.000000953674316406e-01 1.470700359344482422e+01 4.309425964355468750e+02 9.575364257812500000e+03
7.000000476837158203e-01 8.487188339233398438e+00 3.097138366699218750e+02 3.620435546875000000e+03
6.000000238418579102e-01 7.879005432128906250e+00 3.224700927734375000e+02 3.417877929687500000e+03
9.000000953674316406e-01 1.161740779876708984e+01 3.342150573730468750e+02 6.073124023437500000e+03
1.000000119209289551e+00 1.607798004150390625e+01 4.140497436523437500e+02 1.089259472656250000e+04
5.000000000000000000e-01 1.665301322937011719e+01 7.622420043945312500e+02 1.725032812500000000e+04
8.000000715255737305e-01 1.007026576995849609e+01 3.286630859375000000e+02 4.861769531250000000e+03
0.000000000000000000e+00 2.012933492660522461e+00 5.115885009765625000e+02 3.450028320312500000e+03
9.000000953674316406e-01 1.431908226013183594e+01 4.193734130859375000e+02 9.112482421875000000e+03
6.000000238418579102e-01 1.204068756103515625e+01 4.985997009277343750e+02 8.280493164062500000e+03
0.000000000000000000e+00 0.000000000000000000e+00 1.441268066406250000e+03 2.561597265625000000e+04
8.000000715255737305e-01 1.513254928588867188e+01 5.050545654296875000e+02 1.129957714843750000e+04
9.000000953674316406e-01 1.576494026184082031e+01 4.640639648437500000e+02 1.135866894531250000e+04
1.000000119209289551e+00 1.129443550109863281e+01 2.789422607421875000e+02 5.179981445312500000e+03
2.000000029802322388e-01 7.243895053863525391e+00 4.445057983398437500e+02 4.310375976562500000e+03
9.000000953674316406e-01 1.512652587890625000e+01 4.440767822265625000e+02 1.028252929687500000e+04
6.000000238418579102e-01 8.376380920410156250e+00 3.433979492187500000e+02 3.924214843750000000e+03
1.000000014901161194e-01 1.052304267883300781e+01 6.921669921875000000e+02 9.347940429687500000e+03
7.000000476837158203e-01 6.126888751983642578e+00 2.190776062011718750e+02 1.784223632812500000e+03
3.000000119209289551e-01 1.195976448059082031e+01 6.600721435546875000e+02 1.031691796875000000e+04
3.000000119209289551e-01 1.679038810729980469e+01 9.193995971679687500e+02 2.011509375000000000e+04
3.000000119209289551e-01 1.666577339172363281e+01 9.138540039062500000e+02 1.986841796875000000e+04
0.000000000000000000e+00 2.657222747802734375e+00 1.200256591796875000e+03 1.989966406250000000e+04
5.000000000000000000e-01 9.029953002929687500e+00 4.126086425781250000e+02 5.097836914062500000e+03
4.000000059604644775e-01 1.074287414550781250e+01 5.415861816406250000e+02 7.823491210937500000e+03
1.000000119209289551e+00 7.495647907257080078e+00 1.731249847412109375e+02 2.024834960937500000e+03
7.000000476837158203e-01 1.533442401885986328e+01 5.736962890625000000e+02 1.266742871093750000e+04
4.000000059604644775e-01 1.483368873596191406e+01 7.472181396484375000e+02 1.493618261718750000e+04
1.000000119209289551e+00 1.667333984375000000e+01 4.302864685058593750e+02 1.186375683593750000e+04
6.000000238418579102e-01 6.807654857635498047e+00 2.773915405273437500e+02 2.570521972656250000e+03
4.000000059604644775e-01 1.480282402038574219e+01 7.433394165039062500e+02 1.484487207031250000e+04
5.000000000000000000e-01 7.478980064392089844e+00 3.426363525390625000e+02 3.406752929687500000e+03
